ID,Context,FixFreq,BlockFreq
13470,( Assignment|IfStatement|IfStatement|MethodInvocation|SuperMethodInvocation ),0,1
13471,( IfStatement|Assignment|SuperMethodInvocation|IfStatement|None ),0,1
13472,( None|Assignment|IfStatement|IfStatement|SuperMethodInvocation ),0,1
13473,( SuperMethodInvocation|IfStatement|None|Assignment|None ),0,2
13474,( None|IfStatement|SuperMethodInvocation|Assignment|None ),0,2
13475,( VariableDeclarationStatement|EnhancedForStatement|EnhancedForStatement|VariableDeclarationStatement|IfStatement ),2,3
13476,( EnhancedForStatement|VariableDeclarationStatement|IfStatement|EnhancedForStatement|VariableDeclarationStatement ),0,1
13477,( MethodInvocation|MethodInvocation|EnhancedForStatement|Assignment|VariableDeclarationStatement ),0,1
13478,( VariableDeclarationStatement|EnhancedForStatement|IfStatement|MethodInvocation|EnhancedForStatement ),0,1
13479,( IfStatement|VariableDeclarationStatement|EnhancedForStatement|EnhancedForStatement|None ),0,1
13480,( MethodInvocation|VariableDeclarationStatement|ForStatement|VariableDeclarationStatement|IfStatement ),5,5
13481,( IfStatement|IfStatement|TryStatement|IfStatement|VariableDeclarationStatement ),0,1
13482,( TryStatement|IfStatement|VariableDeclarationStatement|IfStatement|IfStatement ),0,8
13483,( VariableDeclarationStatement|TryStatement|IfStatement|IfStatement|ReturnStatement ),0,5
13484,( TryStatement|IfStatement|Assignment|None|Assignment ),0,1
13485,( Assignment|TryStatement|Assignment|IfStatement|None ),0,1
13486,( IfStatement|SynchronizedStatement|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),2,1
13487,( SynchronizedStatement|VariableDeclarationStatement|IfStatement|None|MethodInvocation ),1,3
13488,( MethodInvocation|IfStatement|ReturnStatement|SynchronizedStatement|None ),0,1
13489,( None|IfStatement|MethodInvocation|SynchronizedStatement|ReturnStatement ),0,1
13490,( IfStatement|VariableDeclarationStatement|None|SuperConstructorInvocation|None ),2,1
13491,( VariableDeclarationStatement|SuperConstructorInvocation|IfStatement|None|None ),0,1
13492,( None|VariableDeclarationStatement|IfStatement|SuperConstructorInvocation|None ),0,1
13493,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|SuperMethodInvocation|MethodInvocation ),1,1
13494,( MethodInvocation|SuperMethodInvocation|VariableDeclarationStatement|None|MethodInvocation ),0,3
13495,( None|MethodInvocation|VariableDeclarationStatement|SuperMethodInvocation|MethodInvocation ),0,3
13496,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|ThrowStatement ),0,1
13497,( VariableDeclarationStatement|Assignment|Assignment|SuperMethodInvocation|VariableDeclarationStatement ),0,1
13498,( Assignment|SuperMethodInvocation|VariableDeclarationStatement|None|IfStatement ),1,1
13499,( VariableDeclarationStatement|Assignment|IfStatement|SuperMethodInvocation|None ),1,1
13500,( None|Assignment|VariableDeclarationStatement|SuperMethodInvocation|IfStatement ),0,1
13501,( IfStatement|IfStatement|MethodInvocation|None|SuperMethodInvocation ),0,2
13502,( VariableDeclarationStatement|EnhancedForStatement|WhileStatement|VariableDeclarationStatement|None ),0,1
13503,( WhileStatement|VariableDeclarationStatement|None|EnhancedForStatement|None ),0,1
13504,( None|VariableDeclarationStatement|WhileStatement|EnhancedForStatement|None ),0,1
13505,( MethodInvocation|IfStatement|MethodInvocation|TryStatement|MethodInvocation ),1,2
13506,( MethodInvocation|MethodInvocation|Assignment|None|ThrowStatement ),0,1
13507,( Assignment|MethodInvocation|ThrowStatement|MethodInvocation|None ),0,1
13508,( None|MethodInvocation|Assignment|MethodInvocation|ThrowStatement ),0,1
13509,( VariableDeclarationStatement|EnhancedForStatement|VariableDeclarationStatement|MethodInvocation|TryStatement ),0,2
13510,( VariableDeclarationStatement|VariableDeclarationStatement|TryStatement|EnhancedForStatement|IfStatement ),0,2
13511,( None|VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement|TryStatement ),0,2
13512,( IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|ThrowStatement ),0,2
13513,( VariableDeclarationStatement|IfStatement|ThrowStatement|VariableDeclarationStatement|None ),0,2
13514,( None|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|ThrowStatement ),0,2
13515,( ConstructorInvocation|None|Assignment|None|MethodInvocation ),1,1
13516,( Assignment|ConstructorInvocation|MethodInvocation|None|MethodInvocation ),0,1
13517,( None|ConstructorInvocation|Assignment|None|MethodInvocation ),0,1
13518,( MethodInvocation|Assignment|MethodInvocation|ConstructorInvocation|IfStatement ),0,1
13519,( None|Assignment|MethodInvocation|ConstructorInvocation|MethodInvocation ),0,1
13520,( Assignment|SuperMethodInvocation|IfStatement|None|IfStatement ),1,2
13521,( IfStatement|Assignment|IfStatement|SuperMethodInvocation|IfStatement ),2,2
13522,( None|Assignment|IfStatement|SuperMethodInvocation|IfStatement ),0,2
13523,( IfStatement|MethodInvocation|TryStatement|VariableDeclarationStatement|IfStatement ),1,2
13524,( MethodInvocation|VariableDeclarationStatement|IfStatement|None|TryStatement ),1,4
13525,( TryStatement|IfStatement|IfStatement|MethodInvocation|None ),0,1
13526,( None|IfStatement|TryStatement|MethodInvocation|IfStatement ),0,2
13527,( MethodInvocation|VariableDeclarationStatement|IfStatement|MethodInvocation|TryStatement ),0,1
13528,( IfStatement|VariableDeclarationStatement|MethodInvocation|IfStatement|PostfixExpression ),0,1
13529,( MethodInvocation|IfStatement|PostfixExpression|VariableDeclarationStatement|IfStatement ),0,1
13530,( TryStatement|MethodInvocation|MethodInvocation|None|ReturnStatement ),0,2
13531,( MethodInvocation|None|TryStatement|None|ThrowStatement ),2,2
13532,( TryStatement|MethodInvocation|ThrowStatement|None|None ),0,2
13533,( None|MethodInvocation|TryStatement|None|ThrowStatement ),0,2
13534,( ThrowStatement|TryStatement|None|MethodInvocation|None ),0,2
13535,( None|TryStatement|ThrowStatement|MethodInvocation|None ),0,2
13536,( VariableDeclarationStatement|Assignment|Assignment|SuperMethodInvocation|MethodInvocation ),0,2
13537,( Assignment|None|MethodInvocation|None|WhileStatement ),14,10
13538,( MethodInvocation|Assignment|WhileStatement|None|None ),10,10
13539,( None|Assignment|MethodInvocation|None|WhileStatement ),0,10
13540,( VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|Assignment|VariableDeclarationStatement ),0,6
13541,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|ForStatement ),0,5
13542,( ForStatement|VariableDeclarationStatement|WhileStatement|VariableDeclarationStatement|IfStatement ),2,6
13543,( WhileStatement|ForStatement|IfStatement|VariableDeclarationStatement|None ),0,4
13544,( None|ForStatement|WhileStatement|VariableDeclarationStatement|IfStatement ),0,6
13545,( IfStatement|WhileStatement|None|ForStatement|None ),0,4
13546,( None|WhileStatement|IfStatement|ForStatement|None ),0,4
13547,( Assignment|ForStatement|ForStatement|Assignment|Assignment ),20,11
13548,( ForStatement|Assignment|Assignment|ForStatement|ForStatement ),14,12
13549,( VariableDeclarationStatement|Assignment|EnhancedForStatement|IfStatement|VariableDeclarationStatement ),0,3
13550,( EnhancedForStatement|VariableDeclarationStatement|VariableDeclarationStatement|Assignment|IfStatement ),0,3
13551,( VariableDeclarationStatement|IfStatement|MethodInvocation|Assignment|IfStatement ),0,3
13552,( IfStatement|Assignment|VariableDeclarationStatement|Assignment|EnhancedForStatement ),0,2
13553,( VariableDeclarationStatement|IfStatement|EnhancedForStatement|Assignment|VariableDeclarationStatement ),0,2
13554,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement|VariableDeclarationStatement ),1,3
13555,( VariableDeclarationStatement|MethodInvocation|TryStatement|TryStatement|MethodInvocation ),0,4
13556,( MethodInvocation|TryStatement|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement ),1,3
13557,( MethodInvocation|SuperMethodInvocation|Assignment|None|IfStatement ),2,3
13558,( Assignment|MethodInvocation|IfStatement|SuperMethodInvocation|IfStatement ),1,3
13559,( None|MethodInvocation|Assignment|SuperMethodInvocation|IfStatement ),0,3
13560,( None|SuperMethodInvocation|Assignment|MethodInvocation|VariableDeclarationStatement ),6,3
13561,( None|Assignment|SuperMethodInvocation|MethodInvocation|None ),3,7
13562,( MethodInvocation|IfStatement|Assignment|MethodInvocation|SuperMethodInvocation ),0,4
13563,( Assignment|MethodInvocation|SuperMethodInvocation|IfStatement|None ),0,4
13564,( None|MethodInvocation|Assignment|IfStatement|SuperMethodInvocation ),0,4
13565,( SuperMethodInvocation|Assignment|None|MethodInvocation|None ),0,7
13566,( Assignment|IfStatement|Assignment|TryStatement|None ),0,1
13567,( SuperMethodInvocation|MethodInvocation|Assignment|None|VariableDeclarationStatement ),0,3
13568,( Assignment|SuperMethodInvocation|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement ),0,3
13569,( Assignment|SuperConstructorInvocation|Assignment|None|EnhancedForStatement ),0,2
13570,( Assignment|Assignment|EnhancedForStatement|SuperConstructorInvocation|None ),0,2
13571,( None|Assignment|Assignment|SuperConstructorInvocation|EnhancedForStatement ),0,2
13572,( Assignment|MethodInvocation|MethodInvocation|MethodInvocation|ReturnStatement ),0,2
13573,( WhileStatement|VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|TryStatement ),0,2
13574,( TryStatement|VariableDeclarationStatement|MethodInvocation|WhileStatement|None ),0,2
13575,( VariableDeclarationStatement|IfStatement|Assignment|TryStatement|VariableDeclarationStatement ),6,6
13576,( Assignment|EnhancedForStatement|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement ),2,2
13577,( MethodInvocation|MethodInvocation|TryStatement|None|VariableDeclarationStatement ),0,4
13578,( MethodInvocation|MethodInvocation|EnhancedForStatement|VariableDeclarationStatement|Assignment ),0,2
13579,( EnhancedForStatement|MethodInvocation|Assignment|MethodInvocation|VariableDeclarationStatement ),0,2
13580,( None|EnhancedForStatement|Assignment|MethodInvocation|VariableDeclarationStatement ),0,2
13581,( VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement|Assignment|EnhancedForStatement ),0,2
13582,( EnhancedForStatement|VariableDeclarationStatement|EnhancedForStatement|VariableDeclarationStatement|Assignment ),0,2
13583,( EnhancedForStatement|EnhancedForStatement|Assignment|VariableDeclarationStatement|ReturnStatement ),0,2
13584,( None|EnhancedForStatement|EnhancedForStatement|VariableDeclarationStatement|Assignment ),0,2
13585,( Assignment|EnhancedForStatement|ReturnStatement|EnhancedForStatement|None ),0,2
13586,( None|EnhancedForStatement|Assignment|EnhancedForStatement|ReturnStatement ),0,2
13587,( VariableDeclarationStatement|MethodInvocation|TryStatement|VariableDeclarationStatement|SwitchStatement ),0,2
13588,( TryStatement|VariableDeclarationStatement|SwitchStatement|MethodInvocation|VariableDeclarationStatement ),0,2
13589,( None|VariableDeclarationStatement|TryStatement|MethodInvocation|SwitchStatement ),0,2
13590,( SwitchStatement|TryStatement|VariableDeclarationStatement|VariableDeclarationStatement|TryStatement ),0,2
13591,( None|TryStatement|SwitchStatement|VariableDeclarationStatement|VariableDeclarationStatement ),0,2
13592,( VariableDeclarationStatement|SwitchStatement|TryStatement|TryStatement|MethodInvocation ),0,2
13593,( None|SwitchStatement|VariableDeclarationStatement|TryStatement|TryStatement ),0,2
13594,( TryStatement|VariableDeclarationStatement|MethodInvocation|SwitchStatement|ReturnStatement ),0,2
13595,( None|VariableDeclarationStatement|TryStatement|SwitchStatement|MethodInvocation ),0,2
13596,( IfStatement|VariableDeclarationStatement|MethodInvocation|MethodInvocation|TryStatement ),0,1
13597,( EnhancedForStatement|IfStatement|MethodInvocation|None|IfStatement ),6,3
13598,( IfStatement|None|EnhancedForStatement|None|MethodInvocation ),0,4
13599,( None|IfStatement|EnhancedForStatement|None|MethodInvocation ),0,4
13600,( IfStatement|TryStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),2,5
13601,( EnhancedForStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|MethodInvocation ),0,2
13602,( IfStatement|EnhancedForStatement|MethodInvocation|VariableDeclarationStatement|TryStatement ),0,2
13603,( MethodInvocation|IfStatement|TryStatement|EnhancedForStatement|ReturnStatement ),0,2
13604,( None|IfStatement|MethodInvocation|EnhancedForStatement|TryStatement ),0,2
13605,( EnhancedForStatement|EnhancedForStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement ),0,3
13606,( VariableDeclarationStatement|PostfixExpression|MethodInvocation|None|IfStatement ),0,2
13607,( MethodInvocation|VariableDeclarationStatement|IfStatement|PostfixExpression|MethodInvocation ),0,2
13608,( None|VariableDeclarationStatement|MethodInvocation|PostfixExpression|IfStatement ),0,2
13609,( EnhancedForStatement|VariableDeclarationStatement|IfStatement|EnhancedForStatement|MethodInvocation ),6,2
13610,( IfStatement|EnhancedForStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),1,10
13611,( MethodInvocation|IfStatement|MethodInvocation|EnhancedForStatement|IfStatement ),0,3
13612,( IfStatement|IfStatement|VariableDeclarationStatement|MethodInvocation|LabeledStatement ),0,3
13613,( VariableDeclarationStatement|MethodInvocation|IfStatement|None|LabeledStatement ),0,1
13614,( IfStatement|VariableDeclarationStatement|LabeledStatement|MethodInvocation|ReturnStatement ),0,1
13615,( None|VariableDeclarationStatement|IfStatement|MethodInvocation|LabeledStatement ),0,1
13616,( LabeledStatement|IfStatement|ReturnStatement|VariableDeclarationStatement|None ),0,2
13617,( None|IfStatement|LabeledStatement|VariableDeclarationStatement|ReturnStatement ),0,2
13618,( IfStatement|VariableDeclarationStatement|IfStatement|WhileStatement|VariableDeclarationStatement ),0,1
13619,( IfStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation|WhileStatement ),0,2
13620,( VariableDeclarationStatement|IfStatement|WhileStatement|MethodInvocation|MethodInvocation ),1,3
13621,( WhileStatement|VariableDeclarationStatement|MethodInvocation|IfStatement|IfStatement ),0,2
13622,( IfStatement|MethodInvocation|VariableDeclarationStatement|WhileStatement|WhileStatement ),0,2
13623,( MethodInvocation|SuperMethodInvocation|SwitchStatement|None|MethodInvocation ),1,1
13624,( MethodInvocation|SwitchStatement|None|MethodInvocation|None ),1,1
13625,( SuperMethodInvocation|None|MethodInvocation|None|SwitchStatement ),0,1
13626,( None|SuperMethodInvocation|MethodInvocation|None|SwitchStatement ),0,1
13627,( SwitchStatement|MethodInvocation|MethodInvocation|SuperMethodInvocation|None ),0,1
13628,( None|MethodInvocation|SwitchStatement|SuperMethodInvocation|MethodInvocation ),0,1
13629,( None|SwitchStatement|MethodInvocation|MethodInvocation|None ),0,1
13630,( IfStatement|Assignment|IfStatement|None|TryStatement ),0,5
13631,( IfStatement|IfStatement|TryStatement|Assignment|None ),1,5
13632,( None|IfStatement|IfStatement|Assignment|TryStatement ),0,5
13633,( TryStatement|MethodInvocation|MethodInvocation|None|MethodInvocation ),1,7
13634,( TryStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement ),0,2
13635,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|TryStatement|Assignment ),0,3
13636,( MethodInvocation|PostfixExpression|IfStatement|None|IfStatement ),2,2
13637,( PostfixExpression|None|MethodInvocation|None|IfStatement ),0,2
13638,( None|PostfixExpression|MethodInvocation|None|IfStatement ),0,2
13639,( IfStatement|MethodInvocation|IfStatement|PostfixExpression|None ),0,2
13640,( None|MethodInvocation|IfStatement|PostfixExpression|IfStatement ),0,2
13641,( Assignment|Assignment|Assignment|SuperConstructorInvocation|EnhancedForStatement ),0,2
13642,( Assignment|Assignment|EnhancedForStatement|Assignment|None ),0,2
13643,( IfStatement|SuperMethodInvocation|IfStatement|None|MethodInvocation ),1,3
13644,( IfStatement|IfStatement|MethodInvocation|SuperMethodInvocation|MethodInvocation ),2,3
13645,( VariableDeclarationStatement|None|PostfixExpression|None|IfStatement ),4,4
13646,( PostfixExpression|VariableDeclarationStatement|IfStatement|None|None ),2,4
13647,( None|VariableDeclarationStatement|PostfixExpression|None|IfStatement ),0,4
13648,( IfStatement|Assignment|MethodInvocation|MethodInvocation|None ),0,2
13649,( IfStatement|MethodInvocation|IfStatement|None|SuperMethodInvocation ),0,1
13650,( IfStatement|IfStatement|SuperMethodInvocation|MethodInvocation|None ),0,1
13651,( None|IfStatement|IfStatement|MethodInvocation|SuperMethodInvocation ),0,1
13652,( Assignment|IfStatement|MethodInvocation|Assignment|SuperMethodInvocation ),0,1
13653,( MethodInvocation|Assignment|SuperMethodInvocation|IfStatement|None ),0,1
13654,( None|Assignment|MethodInvocation|IfStatement|SuperMethodInvocation ),0,1
13655,( IfStatement|VariableDeclarationStatement|ForStatement|None|VariableDeclarationStatement ),3,3
13656,( VariableDeclarationStatement|ForStatement|VariableDeclarationStatement|IfStatement|MethodInvocation ),0,2
13657,( Assignment|VariableDeclarationStatement|EnhancedForStatement|None|Assignment ),0,2
13658,( EnhancedForStatement|Assignment|Assignment|VariableDeclarationStatement|None ),0,2
13659,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|WhileStatement|Assignment ),0,2
13660,( MethodInvocation|None|SwitchStatement|None|None ),1,1
13661,( None|None|MethodInvocation|None|SwitchStatement ),0,1
13662,( SwitchStatement|MethodInvocation|None|None|None ),0,1
13663,( None|MethodInvocation|SwitchStatement|None|None ),0,1
13664,( None|VariableDeclarationStatement|TryStatement|PostfixExpression|None ),3,1
13665,( PostfixExpression|None|VariableDeclarationStatement|None|TryStatement ),0,1
13666,( VariableDeclarationStatement|PostfixExpression|TryStatement|None|None ),0,1
13667,( None|PostfixExpression|VariableDeclarationStatement|None|TryStatement ),0,1
13668,( TryStatement|VariableDeclarationStatement|None|PostfixExpression|None ),0,1
13669,( IfStatement|SuperMethodInvocation|Assignment|None|MethodInvocation ),0,1
13670,( Assignment|IfStatement|MethodInvocation|SuperMethodInvocation|IfStatement ),0,1
13671,( None|IfStatement|Assignment|SuperMethodInvocation|MethodInvocation ),0,1
13672,( VariableDeclarationStatement|Assignment|TryStatement|Assignment|Assignment ),0,1
13673,( Assignment|MethodInvocation|Assignment|SuperConstructorInvocation|Assignment ),0,2
13674,( None|SwitchStatement|Assignment|VariableDeclarationStatement|None ),2,2
13675,( Assignment|None|VariableDeclarationStatement|None|SwitchStatement ),0,2
13676,( VariableDeclarationStatement|Assignment|SwitchStatement|None|Assignment ),0,2
13677,( None|Assignment|VariableDeclarationStatement|None|SwitchStatement ),0,2
13678,( SwitchStatement|VariableDeclarationStatement|Assignment|Assignment|None ),0,2
13679,( None|VariableDeclarationStatement|SwitchStatement|Assignment|Assignment ),0,2
13680,( Assignment|SwitchStatement|None|VariableDeclarationStatement|None ),1,2
13681,( None|Assignment|None|SwitchStatement|None ),0,2
13682,( IfStatement|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|EnhancedForStatement ),2,4
13683,( IfStatement|MethodInvocation|MethodInvocation|IfStatement|TryStatement ),0,4
13684,( MethodInvocation|MethodInvocation|TryStatement|IfStatement|IfStatement ),1,2
13685,( MethodInvocation|IfStatement|MethodInvocation|VariableDeclarationStatement|TryStatement ),1,4
13686,( ForStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|MethodInvocation ),1,4
13687,( IfStatement|VariableDeclarationStatement|IfStatement|TryStatement|MethodInvocation ),0,5
13688,( Assignment|MethodInvocation|SuperMethodInvocation|EnhancedForStatement|None ),1,1
13689,( Assignment|DoStatement|MethodInvocation|IfStatement|SuperMethodInvocation ),2,1
13690,( MethodInvocation|EnhancedForStatement|Assignment|MethodInvocation|SuperMethodInvocation ),1,1
13691,( MethodInvocation|Assignment|SuperMethodInvocation|DoStatement|None ),1,1
13692,( None|MethodInvocation|Assignment|EnhancedForStatement|SuperMethodInvocation ),0,1
13693,( VariableDeclarationStatement|IfStatement|IfStatement|VariableDeclarationStatement|DoStatement ),1,3
13694,( IfStatement|VariableDeclarationStatement|DoStatement|IfStatement|Assignment ),0,1
13695,( None|VariableDeclarationStatement|IfStatement|IfStatement|DoStatement ),0,3
13696,( DoStatement|IfStatement|Assignment|VariableDeclarationStatement|MethodInvocation ),0,1
13697,( None|IfStatement|DoStatement|VariableDeclarationStatement|Assignment ),0,1
13698,( None|DoStatement|Assignment|IfStatement|MethodInvocation ),0,1
13699,( None|Assignment|MethodInvocation|DoStatement|SuperMethodInvocation ),0,1
13700,( Assignment|IfStatement|TryStatement|VariableDeclarationStatement|Assignment ),0,1
13701,( MethodInvocation|IfStatement|VariableDeclarationStatement|IfStatement|WhileStatement ),1,5
13702,( VariableDeclarationStatement|MethodInvocation|WhileStatement|IfStatement|VariableDeclarationStatement ),0,2
13703,( IfStatement|VariableDeclarationStatement|IfStatement|WhileStatement|MethodInvocation ),0,1
13704,( WhileStatement|IfStatement|IfStatement|VariableDeclarationStatement|MethodInvocation ),0,1
13705,( IfStatement|WhileStatement|MethodInvocation|IfStatement|MethodInvocation ),0,1
13706,( VariableDeclarationStatement|EnhancedForStatement|Assignment|Assignment|EnhancedForStatement ),2,2
13707,( Assignment|None|EnhancedForStatement|None|VariableDeclarationStatement ),0,2
13708,( EnhancedForStatement|Assignment|VariableDeclarationStatement|None|Assignment ),0,2
13709,( None|Assignment|EnhancedForStatement|None|VariableDeclarationStatement ),0,2
13710,( None|EnhancedForStatement|VariableDeclarationStatement|Assignment|Assignment ),0,2
13711,( Assignment|VariableDeclarationStatement|EnhancedForStatement|EnhancedForStatement|None ),0,2
13712,( None|VariableDeclarationStatement|Assignment|EnhancedForStatement|EnhancedForStatement ),0,2
13713,( IfStatement|VariableDeclarationStatement|TryStatement|MethodInvocation|TryStatement ),1,3
13714,( TryStatement|IfStatement|TryStatement|VariableDeclarationStatement|TryStatement ),0,2
13715,( None|IfStatement|TryStatement|VariableDeclarationStatement|TryStatement ),1,4
13716,( TryStatement|TryStatement|TryStatement|IfStatement|None ),0,1
13717,( None|TryStatement|TryStatement|IfStatement|TryStatement ),0,2
13718,( MethodInvocation|IfStatement|TryStatement|MethodInvocation|MethodInvocation ),0,1
13719,( TryStatement|MethodInvocation|MethodInvocation|IfStatement|VariableDeclarationStatement ),0,2
13720,( MethodInvocation|TryStatement|VariableDeclarationStatement|MethodInvocation|IfStatement ),0,3
13721,( None|TryStatement|MethodInvocation|MethodInvocation|VariableDeclarationStatement ),2,7
13722,( VariableDeclarationStatement|MethodInvocation|IfStatement|TryStatement|MethodInvocation ),0,5
13723,( EnhancedForStatement|IfStatement|IfStatement|VariableDeclarationStatement|EnhancedForStatement ),0,1
13724,( IfStatement|EnhancedForStatement|EnhancedForStatement|IfStatement|None ),0,1
13725,( None|EnhancedForStatement|IfStatement|IfStatement|EnhancedForStatement ),0,1
13726,( TryStatement|VariableDeclarationStatement|IfStatement|MethodInvocation|ReturnStatement ),0,2
13727,( IfStatement|EnhancedForStatement|IfStatement|MethodInvocation|ReturnStatement ),0,1
13728,( MethodInvocation|IfStatement|IfStatement|VariableDeclarationStatement|EnhancedForStatement ),0,5
13729,( IfStatement|MethodInvocation|EnhancedForStatement|IfStatement|VariableDeclarationStatement ),0,1
13730,( EnhancedForStatement|IfStatement|VariableDeclarationStatement|MethodInvocation|IfStatement ),0,1
13731,( None|IfStatement|EnhancedForStatement|MethodInvocation|VariableDeclarationStatement ),0,1
13732,( VariableDeclarationStatement|TryStatement|EnhancedForStatement|VariableDeclarationStatement|VariableDeclarationStatement ),0,1
13733,( EnhancedForStatement|VariableDeclarationStatement|VariableDeclarationStatement|TryStatement|MethodInvocation ),0,1
13734,( None|VariableDeclarationStatement|EnhancedForStatement|TryStatement|VariableDeclarationStatement ),0,2
13735,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|EnhancedForStatement|TryStatement ),0,1
13736,( MethodInvocation|WhileStatement|MethodInvocation|VariableDeclarationStatement|IfStatement ),1,1
13737,( MethodInvocation|MethodInvocation|IfStatement|WhileStatement|MethodInvocation ),1,1
13738,( TryStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|WhileStatement ),0,1
13739,( IfStatement|TryStatement|WhileStatement|VariableDeclarationStatement|MethodInvocation ),0,1
13740,( None|TryStatement|IfStatement|VariableDeclarationStatement|WhileStatement ),0,1
13741,( WhileStatement|IfStatement|MethodInvocation|TryStatement|MethodInvocation ),0,1
13742,( None|IfStatement|WhileStatement|TryStatement|MethodInvocation ),0,1
13743,( None|MethodInvocation|MethodInvocation|WhileStatement|IfStatement ),0,1
13744,( Assignment|VariableDeclarationStatement|IfStatement|TryStatement|MethodInvocation ),0,1
13745,( VariableDeclarationStatement|MethodInvocation|Assignment|IfStatement|Assignment ),1,1
13746,( IfStatement|Assignment|VariableDeclarationStatement|None|TryStatement ),3,4
13747,( VariableDeclarationStatement|IfStatement|TryStatement|Assignment|None ),0,2
13748,( VariableDeclarationStatement|IfStatement|SynchronizedStatement|None|EnhancedForStatement ),3,1
13749,( SynchronizedStatement|VariableDeclarationStatement|EnhancedForStatement|None|None ),2,6
13750,( VariableDeclarationStatement|None|SynchronizedStatement|None|EnhancedForStatement ),4,6
13751,( IfStatement|None|VariableDeclarationStatement|None|SynchronizedStatement ),1,5
13752,( None|IfStatement|VariableDeclarationStatement|None|SynchronizedStatement ),0,5
13753,( None|VariableDeclarationStatement|SynchronizedStatement|None|EnhancedForStatement ),0,6
13754,( IfStatement|VariableDeclarationStatement|EnhancedForStatement|MethodInvocation|ReturnStatement ),4,3
13755,( IfStatement|EnhancedForStatement|Assignment|VariableDeclarationStatement|Assignment ),2,5
13756,( Assignment|IfStatement|Assignment|EnhancedForStatement|Assignment ),0,5
13757,( None|IfStatement|Assignment|EnhancedForStatement|Assignment ),0,5
13758,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|IfStatement ),0,1
13759,( VariableDeclarationStatement|VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement|IfStatement ),0,4
13760,( MethodInvocation|VariableDeclarationStatement|TryStatement|None|TryStatement ),0,1
13761,( TryStatement|MethodInvocation|TryStatement|VariableDeclarationStatement|None ),0,2
13762,( None|MethodInvocation|TryStatement|VariableDeclarationStatement|TryStatement ),2,3
13763,( MethodInvocation|IfStatement|Assignment|IfStatement|TryStatement ),0,1
13764,( SuperMethodInvocation|MethodInvocation|Assignment|None|ForStatement ),0,1
13765,( Assignment|SuperMethodInvocation|ForStatement|MethodInvocation|None ),0,1
13766,( None|SuperMethodInvocation|Assignment|MethodInvocation|ForStatement ),0,1
13767,( ForStatement|Assignment|None|SuperMethodInvocation|None ),0,1
13768,( None|Assignment|ForStatement|SuperMethodInvocation|None ),0,1
13769,( VariableDeclarationStatement|EnhancedForStatement|WhileStatement|VariableDeclarationStatement|VariableDeclarationStatement ),0,1
13770,( WhileStatement|VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement|IfStatement ),0,1
13771,( None|VariableDeclarationStatement|WhileStatement|EnhancedForStatement|VariableDeclarationStatement ),0,1
13772,( VariableDeclarationStatement|VariableDeclarationStatement|TryStatement|Assignment|ReturnStatement ),1,1
13773,( None|SwitchCase|SwitchCase|SwitchStatement|None ),1,1
13774,( SwitchCase|SwitchCase|SwitchCase|SwitchStatement|SwitchCase ),1,2
13775,( SwitchCase|SwitchCase|None|SwitchStatement|None ),1,1
13776,( SwitchCase|SwitchStatement|SwitchCase|None|None ),0,1
13777,( VariableDeclarationStatement|SuperMethodInvocation|IfStatement|None|Assignment ),1,1
13778,( IfStatement|VariableDeclarationStatement|Assignment|SuperMethodInvocation|EnhancedForStatement ),1,1
13779,( Assignment|IfStatement|EnhancedForStatement|VariableDeclarationStatement|None ),1,1
13780,( None|VariableDeclarationStatement|IfStatement|SuperMethodInvocation|Assignment ),0,1
13781,( EnhancedForStatement|Assignment|None|IfStatement|None ),0,1
